"name","gender","ethnicity","isomerism","orientation","disability","year","domain","manwhitecisable","manwhitecis","manwhite","minoritized","poc"
"Humberto Aquino","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Shusaku Arakawa","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Siah Armajani","man","middleeast",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Charles Arnoldi","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Claude Bogratchew","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Michael E. Boruch","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Gary Brotmeyer","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Wayne Cable","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Vija Celmins","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Arnaud Claass","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Sue Coe","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Marsha Cottrell","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Paul D'Amato","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Donna Dennis","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"John E. Dowell, Jr.","man","black",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Felix Droese","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Barbara Ess","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Joan Fontcuberta","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Dan Friedman","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Terry A. Gentille","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"John Gossage","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Mimi Grooms","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Nancy Grossman","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"David T. Hanson","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Keiko Hara","woman","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Naohisa Hara","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Honma Hideaki","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Bryan Hunt","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Doug Ischar","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Bill Jensen","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Barbara Kasten","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Kurt Kemp","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Margarida Kendall","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Michiko Kon","woman","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Les Levine","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"David Ligare","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
